Tree,Fcln,Mcln
268032,.,.
268033,.,.
268034,.,.
268035,.,.
268036,.,.
268037,.,.
268038,.,.
268001,.,.
268002,.,.
268003,.,.
268004,.,.
268005,.,.
268006,.,.
268007,.,.
268009,.,.
268010,.,.
268011,.,.
268012,.,.
268013,.,.
268014,.,.
268015,.,.
268016,.,.
268017,.,.
268018,.,.
268019,.,.
268020,.,.
268021,.,.
268022,.,.
268023,.,.
268024,.,.
268025,.,.
268026,.,.
268027,.,.
268028,.,.
268029,.,.
268030,.,.
268031,.,.
268039,.,.
268040,.,.
268041,.,.
268042,.,.
268043,.,.
268044,.,.
268045,.,.
268046,.,.
268047,.,.
268048,.,.
268049,.,.
268050,.,.
268051,.,.
268052,.,.
268054,.,.
268055,.,.
268056,.,.
268057,.,.
268058,.,.
268059,.,.
268060,.,.
268061,.,.
268062,.,.
268063,.,.
268064,.,.
268066,.,.
268067,.,.
268068,.,.
268069,.,.
268070,.,.
268071,.,.
268072,.,.
268073,.,.
268074,.,.
268075,.,.
268076,.,.
268077,.,.
268078,.,.
268079,.,.
268080,.,.
268081,.,.
268082,.,.
268083,.,.
268084,.,.
268085,.,.
268086,.,.
268087,.,.
268088,.,.
268089,.,.
268090,.,.
268091,.,.
268092,.,.
268093,.,.
268094,.,.
268095,.,.
268096,.,.
268097,.,.
268098,.,.
268099,.,.
268100,.,.
268101,.,.
268102,.,.
268103,.,.
268104,.,.
268105,.,.
268106,.,.
268107,.,.
268108,.,.
268110,.,.
268111,.,.
268112,.,.
268113,.,.
268114,.,.
268115,.,.
268116,.,.
268117,.,.
268118,.,.
268119,.,.
268120,.,.
268121,.,.
268122,.,.
268123,.,.
268124,.,.
268126,.,.
268127,.,.
268128,.,.
268129,.,.
268130,.,.
268131,.,.
268132,.,.
268133,.,.
268134,.,.
268135,.,.
268136,.,.
268137,.,.
268138,.,.
268139,.,.
268140,.,.
268141,.,.
268142,.,.
268143,.,.
268144,.,.
268145,.,.
268146,.,.
268147,.,.
268148,.,.
268149,.,.
268150,.,.
268152,.,.
268153,.,.
268154,.,.
268155,.,.
268156,.,.
268157,.,.
268158,.,.
268159,.,.
268160,.,.
268161,.,.
268162,.,.
268163,.,.
268164,.,.
268165,.,.
268166,.,.
268168,.,.
268169,.,.
268170,.,.
268171,.,.
268173,.,.
268174,.,.
268175,.,.
268176,.,.
268177,.,.
268178,.,.
268179,.,.
268181,.,.
268182,.,.
268183,.,.
268184,.,.
268185,.,.
268186,.,.
268188,.,.
268189,.,.
268190,.,.
268192,.,.
268193,.,.
268194,.,.
268195,.,.
268197,.,.
268229,.,.
268198,.,.
268209,.,.
268211,.,.
268217,.,.
268199,.,.
268215,.,.
268210,.,.
268232,.,.
268201,.,.
268223,.,.
268220,.,.
268221,.,.
268224,.,.
268212,.,.
268213,.,.
268222,.,.
268205,.,.
268204,.,.
268219,.,.
268234,.,.
268208,.,.
268203,.,.
268231,.,.
268202,.,.
268214,.,.
268233,.,.
268207,.,.
268230,.,.
268227,.,.
268206,.,.
268216,.,.
268225,.,.
268218,.,.
268200,.,.
268226,.,.
268228,.,.
268238,.,.
268245,.,.
268240,.,.
268258,.,.
268242,.,.
268252,.,.
268241,.,.
268268,.,.
268248,.,.
268254,.,.
268270,.,.
268236,.,.
268266,.,.
268267,.,.
268265,.,.
268264,.,.
268262,.,.
268256,.,.
268259,.,.
268255,.,.
268235,.,.
268260,.,.
268261,.,.
268263,.,.
268269,.,.
268273,.,.
268272,.,.
268244,.,.
268247,.,.
268251,.,.
268249,.,.
268250,.,.
268253,.,.
268239,.,.
268237,.,.
268246,.,.
268243,.,.
268310,.,.
268309,.,.
268292,.,.
268293,.,.
268297,.,.
268296,.,.
268308,.,.
268298,.,.
268283,.,.
268307,.,.
268279,.,.
268300,.,.
268287,.,.
268286,.,.
268301,.,.
268290,.,.
268280,.,.
268282,.,.
268281,.,.
268295,.,.
268305,.,.
268294,.,.
268291,.,.
268276,.,.
268284,.,.
268275,.,.
268306,.,.
268277,.,.
268302,.,.
268289,.,.
268278,.,.
268304,.,.
268299,.,.
268288,.,.
268285,.,.
268274,.,.
268303,.,.
268326,.,.
268343,.,.
268333,.,.
268318,.,.
268319,.,.
268324,.,.
268320,.,.
268354,.,.
