Ortet,Index,Rank,EBV_dbh,acc_dbh,EBV_brh,acc_brh,EBV_str,acc_str,EBV_den,acc_den,EBV_pme,acc_pme,EBV_dothi,acc_dothi,Female,Male
397172,4179,1,30.63262446,0.826631115,1.302896361,0.859269457,0.600887746,0.849701712,1.601214007,0.894492594,2.436239276,0.855804884,NA,NA,875242,268539
288402,4158,2,18.24220134,0.980720144,1.616448768,0.982088082,0.893244621,0.978753289,28.43163332,0.985538939,2.634767157,0.980458566,-4.024599179,0.962449479,875066,875270
317532,4108,3,4.054120522,0.803358575,1.040882788,0.853861816,0.458172594,0.839405742,38.4482054,0.872089445,3.631603651,0.859017462,-9.390806723,0.772608568,2006230,2006109
397176,3978,4,31.02706889,0.827505891,0.83616565,0.860013372,0.72819402,0.847827223,-15.37975499,0.895619897,2.805205613,0.854771314,-9.219799562,0.907216071,875242,268539
317431,3914,5,16.29344237,0.829481163,0.759688567,0.88734548,0.366899663,0.866362511,30.73847394,0.891423581,2.828575386,0.875884696,-3.622916869,0.828187781,2006209,2006160
317430,3739,6,12.24753034,0.819114766,0.710118928,0.88058844,0.403006309,0.864886698,30.29191899,0.881209396,2.939317314,0.884284456,-2.913413587,0.812302899,2006209,2006160
317436,3739,7,9.145880598,0.827392289,0.854991713,0.877761927,0.416583151,0.846812258,27.090284,0.883622091,3.132574391,0.851775792,-2.805828392,0.802031795,2006209,2006160
313690,3712,8,39.743945,0.86882622,1.399822944,0.906131889,1.038498856,0.888763748,-0.209401913,0.945283555,1.281187624,0.922958287,-8.192907705,0.897483147,2003181,2003217
317433,3622,9,13.68403958,0.825906774,0.436087025,0.883046998,0.494541675,0.853723609,22.20296751,0.869356659,3.040050845,0.858701345,0.612752886,0.800931333,2006209,2006160
288101,3620,10,37.52329761,0.974195052,1.691076029,0.977648198,0.519102743,0.969765951,5.713760668,0.977135098,0.899936995,0.96856595,-8.956736259,0.966168205,875258,875067
317442,3582,11,14.66195871,0.772674576,0.803278546,0.818073346,0.496585763,0.787388087,20.89862592,0.80391915,2.716533977,0.774440443,-4.635620453,0.779036585,2006209,2006160
313196,3495,12,26.87376543,0.879192243,1.585560851,0.909810969,0.557278497,0.892418624,34.89452006,0.947472955,1.00114933,0.927671278,-1.990766616,0.899629368,2003400,2004078
317708,3494,13,18.2791453,0.836002392,1.283643883,0.886174362,0.540122355,0.858151502,15.31694287,0.888632095,2.168332062,0.867927416,-4.626793006,0.818439979,2004020,2003098
875258,3465,14,30.85548244,0.953098631,2.009163547,0.960009896,-1.464364791,0.951685347,11.98536125,0.768066403,0.381438883,0.746530642,-10.9323123,0.922341043,268123,NA
397171,3441,15,32.43503169,0.823887128,1.178677563,0.853717752,0.44049721,0.832132201,2.88659589,0.894161619,1.388339964,0.855154957,NA,NA,875242,268539
317435,3403,16,19.53158335,0.801649549,0.399277435,0.847689802,0.580663029,0.814955827,31.65985116,0.859562098,2.21135966,0.792449367,-0.360713327,0.811921178,2006209,2006160
315390,3395,17,26.17574941,0.782671068,1.10939789,0.8184076,0.690798664,0.82665047,-9.029874251,0.842298047,2.104588315,0.868078337,NA,NA,2004008,2003047
397188,3384,18,25.84387232,0.776945301,1.516171721,0.826268721,0.58231404,0.813472802,-0.43536538,0.880512919,1.666727072,0.822928308,NA,NA,875242,NA
399604,3383,19,42.86330349,0.823320715,0.601169788,0.837975537,0.795726202,0.840033333,-14.07389993,0.887026493,1.355059937,0.83900298,-6.833005788,0.903685233,268532,880655
2006109,3354,20,12.24306536,0.958473787,0.886357775,0.973036484,0.175745654,0.961692258,19.78624072,0.971922322,2.49188747,0.964731569,-0.053066247,0.910999451,887944,887771
399599,3328,21,41.96128851,0.818791182,0.98965926,0.830597977,1.100791673,0.826056293,0.479485591,0.885072313,0.896697202,0.831413856,-11.02648548,0.882022675,268532,880655
399076,3325,22,22.07886475,0.822883345,1.538961648,0.830742439,0.464473375,0.835302939,4.281064484,0.885447345,1.723585946,0.835894132,-4.08595525,0.788036801,880739,850055
317434,3309,23,13.57576539,0.814588853,0.770794835,0.857012252,0.170224155,0.830607609,20.75448795,0.864855479,2.392748968,0.841658482,-0.044110446,0.729166648,2006209,2006160
399283,3293,24,38.13071126,0.814455033,1.275697697,0.823907762,0.402387119,0.82884136,4.330661039,0.883635672,0.702218198,0.834716119,-5.804144318,0.768886858,880740,268532
2004008,3272,25,31.56295467,0.969731922,0.875807922,0.973586154,0.405548051,0.9695205,-13.20904912,0.978770658,1.72857828,0.976332935,-8.396423433,0.961963617,880647,875058
317437,3236,26,13.92772703,0.830036746,0.893693448,0.881970521,0.7624985,0.850269369,19.88588123,0.877562533,2.356334512,0.859008149,-0.727328584,0.813647344,2006209,2006160
399239,3197,27,40.91723685,0.820009756,1.240517941,0.830689473,1.321823604,0.83256231,5.455452399,0.883895356,0.603837355,0.835921647,-8.400958844,0.766516145,880739,268532
313623,3189,28,29.03829523,0.876656147,1.082287136,0.907493251,0.345458141,0.886618294,-12.00192138,0.947706706,1.634712701,0.927317098,-6.205558583,0.904992265,2004018,2003217
317564,3147,29,20.35812707,0.830653959,0.943999585,0.887180929,0.623972686,0.85438867,12.04771452,0.879226933,1.878162868,0.851005875,-3.795230634,0.836102266,2006231,2006160
315487,3144,30,7.413229901,0.778228116,0.878754123,0.812302284,0.242253411,0.809287959,30.77202522,0.838101426,2.373727026,0.859706927,NA,NA,2004020,2003098
313003,3139,31,1.044762401,0.86922034,0.591275949,0.904618704,0.174244375,0.882119606,25.07531874,0.944346864,3.088768636,0.920779561,10.37762636,0.914801071,2004020,2003098
313719,3120,32,40.92531648,0.877419512,1.701840961,0.90581731,0.555559815,0.883607945,14.68799052,0.94609619,-0.144413944,0.923728315,-9.184550874,0.905421449,2004011,2003318
399600,3117,33,36.39871636,0.822249354,0.715778621,0.834284724,1.08909535,0.835080834,1.827617332,0.888928006,1.163597496,0.839622534,-10.0191493,0.863419365,268532,880655
875242,3083,34,22.42804441,0.995514942,1.330859425,0.996604234,0.381390193,0.995147728,21.35671214,0.994744188,1.17126543,0.994035714,-13.12180754,0.982374165,268107,268093
397174,3076,35,31.22989689,0.824333064,1.437825523,0.854063815,1.095814642,0.832576723,2.609757482,0.894422719,1.009321229,0.84737595,NA,NA,875242,268539
399004,3075,36,24.55778249,0.817296152,0.390296419,0.828493211,0.766730405,0.831285751,2.744594753,0.886594045,2.052890277,0.838259506,NA,NA,880740,268041
313491,3070,37,30.55251385,0.859153653,1.656211561,0.899203536,0.366704653,0.879217834,-8.413618685,0.94514073,0.953384914,0.922640775,-0.587713475,0.87194954,2003221,NA
399167,3052,38,11.07223871,0.819530963,1.161957725,0.831374164,0.261470628,0.832528678,-8.153499752,0.88777362,2.581320259,0.831126946,5.314815928,0.88619016,880618,875954
313091,3037,39,11.99812877,0.877976651,1.001207369,0.907647509,0.860849894,0.892710479,15.99429372,0.946345074,2.27121466,0.923683387,-2.88454082,0.914385039,2003101,2004020
399181,3035,40,23.13650587,0.818599414,0.564568211,0.823764529,0.750329222,0.82982709,9.316981236,0.885388615,1.861132346,0.835502244,-11.28862849,0.833642609,268315,880655
315001,3021,41,14.72117536,0.763958114,1.105437394,0.797733038,0.755922233,0.867110143,11.2878632,0.806649242,2.061172351,0.860058138,NA,NA,2003101,2004020
315196,3019,42,24.64165518,0.788098344,1.14752512,0.829543248,0.722268575,0.855864475,35.4093902,0.846612072,0.85857023,0.880247124,NA,NA,2003400,2004078
3191418,3013,43,23.33023822,0.745966487,1.264793912,0.811972906,0.617457245,0.786039439,22.12133457,0.813164805,1.102286027,0.803973258,-6.384459155,0.815355751,2004078,2003400
317561,3008,44,15.3798856,0.821510803,0.648375831,0.872755407,0.453859036,0.838267857,19.26527248,0.880916568,2.057620191,0.850861328,-3.702928268,0.797242121,2006231,2006160
313439,3005,45,34.59634981,0.861386092,0.926902235,0.868932679,0.289903776,0.847625507,0.577894749,0.923771076,0.850685769,0.878013667,-9.578880672,0.908868527,2004010,2004008
314229,2977,46,24.87927486,0.778890236,1.324479704,0.760877125,0.718797426,0.743475622,20.98533101,0.832299826,0.956527356,0.779414524,-8.992685075,0.796079142,2003400,2004078
317326,2968,47,29.13600357,0.827483535,0.525155615,0.882430167,0.214357286,0.858375792,0.370714303,0.884591996,1.424804335,0.869018412,-5.522701654,0.802760238,2006131,2006160
314220,2967,48,22.78390629,0.827777144,1.355746462,0.825772366,0.628187522,0.79402204,29.38184171,0.884091624,0.886759257,0.830918167,-12.61723879,0.86465311,2003400,2004078
313233,2955,49,34.8442038,0.883362327,1.553647938,0.913578678,0.379530875,0.897691484,-9.151032256,0.948895674,0.587326933,0.931331842,-13.81662066,0.906613479,2003232,2003221
317150,2954,50,29.34269558,0.790014557,1.108777508,0.838137817,0.062616612,0.794643316,18.46720093,0.835284383,0.640904249,0.730216406,-8.363109954,0.803013699,2006220,2006232
399522,2952,51,24.25121245,0.825105448,1.483347866,0.837284898,1.028007608,0.838470632,0.887213949,0.888096279,1.331956892,0.839050654,2.985742043,0.88710146,880656,268041
306102,2950,52,22.40845554,0.758520929,1.462268347,0.786258227,0.143270128,0.768623445,-6.434475865,0.802312907,1.4042139,0.793808541,NA,NA,887806,268005
317200,2948,53,24.53365858,0.805224192,1.039798697,0.857939392,0.719553055,0.831445729,5.43425907,0.866532746,1.423149673,0.848914601,-9.088607227,0.775239318,2006225,2006232
313547,2945,54,24.18392265,0.882328737,0.954297572,0.911808094,0.501783559,0.894573641,0.962508376,0.949003688,1.53246684,0.930235454,-12.2533647,0.901926272,2004008,2003047
317123,2936,55,10.66620481,0.824256028,-0.106772083,0.872531375,0.277600654,0.8427467,15.85666385,0.881755635,2.794945822,0.858161989,0.251617173,0.790492252,2006208,2006201
397181,2936,56,19.82601591,0.76952063,1.073086462,0.818584144,-0.093777433,0.798241192,16.71770669,0.877487892,1.307494752,0.808416972,NA,NA,875242,NA
397182,2935,57,10.99929411,0.818408822,1.184125948,0.847442033,0.084528536,0.816850047,26.85913189,0.89715662,1.703002929,0.855636605,NA,NA,875242,875076
399272,2935,58,18.49632764,0.822300432,1.087442646,0.83405995,0.533972592,0.836916364,14.90141487,0.884380009,1.575041194,0.832564712,-5.724591,0.904617046,880740,268532
313543,2933,59,25.46812207,0.865504477,0.924267742,0.899319743,0.677792427,0.87746111,-3.142865789,0.944632204,1.567722095,0.921749424,-7.748242408,0.894653564,2004008,2003047
399064,2926,60,21.66751895,0.821594791,1.453814683,0.833151247,0.056587056,0.835809787,10.15072126,0.886007336,1.090007096,0.836584724,-4.852551973,0.924880533,268530,880728
315202,2924,61,20.83139943,0.752755604,1.391370013,0.764490026,0.738008488,0.801178507,22.4054541,0.79375437,1.108904022,0.830245145,NA,NA,2003400,2004078
315193,2918,62,25.22844634,0.752197447,1.39487654,0.758660003,0.667045651,0.794173155,22.60711622,0.791631227,0.768773697,0.826653495,NA,NA,2003400,2004078
313659,2909,63,29.17332212,0.872249964,1.24713792,0.901351208,0.841340382,0.879015927,12.44856459,0.945507271,0.811494033,0.92529833,-12.87978771,0.902241653,2003176,2004024
315485,2906,64,8.488061405,0.778285295,0.806636816,0.819487645,0.274588424,0.817838615,24.626349,0.839293751,2.168207788,0.863912611,NA,NA,2004020,2003098
317318,2906,65,25.23604647,0.818561543,0.657543448,0.872664311,-0.289523983,0.837907513,6.285900908,0.879078495,1.304416821,0.849028268,-1.056785262,0.802491745,2006131,2006160
317718,2899,66,10.1774549,0.824209925,0.773138665,0.880032954,0.372016663,0.841398241,30.54082446,0.875805344,1.969709831,0.832710634,-1.292129189,0.818658659,2004020,2003098
268005,2897,67,31.02466105,0.983917171,0.607351482,0.990314092,0.134217745,0.982613861,-9.534620794,0.98085371,1.32366597,0.977702409,-3.884394861,0.957364612,NA,NA
313486,2895,68,34.97261707,0.856623021,1.098575644,0.899012792,0.640122813,0.876994869,-24.58884648,0.945682822,1.148778125,0.922347548,-9.355292273,0.888642223,2003221,NA
2006209,2886,69,12.44362575,0.959494138,0.781833544,0.971398476,0.612660266,0.959300266,29.01461197,0.970412284,1.874928358,0.965443939,-6.913992052,0.930172565,885429,883064
885346,2885,70,1.798238958,0.865143341,1.699556766,0.915198885,0.190886861,0.882655086,23.82745374,0.789381403,2.04915986,0.751203701,-1.864715702,0.497234351,NA,NA
397156,2883,71,11.98912804,0.774479825,1.10465067,0.826903864,0.628377262,0.813429161,4.738039644,0.880414675,2.174945173,0.820945796,NA,NA,850101,NA
397224,2883,72,27.38290875,0.818509621,1.228926573,0.847977594,1.111978942,0.821180857,10.74285629,0.89085184,1.012155521,0.826182183,NA,NA,880655,268532
315396,2881,73,30.872103,0.821956812,1.232553925,0.858441611,0.475791412,0.845378022,-7.308485094,0.868846937,0.960635788,0.840766317,-10.81668847,0.805548881,2004008,2003047
313625,2880,74,30.31467427,0.880043181,1.314367547,0.908603874,0.610984288,0.888869507,-1.907510309,0.949084822,0.875970517,0.93043162,-8.833445591,0.908422809,2004018,2003217
2003221,2880,75,32.94312817,0.972828351,1.102703661,0.976390803,0.462505277,0.972636109,-6.490586099,0.980490184,0.876601302,0.97826479,-5.722103173,0.975961577,880655,850101
317185,2879,76,22.65898066,0.817878353,0.918933067,0.869929307,0.641865923,0.837510597,11.70519009,0.885001695,1.403577379,0.849209633,-8.042417192,0.804906827,2006225,2006221
317203,2874,77,33.46949105,0.818329396,1.050449389,0.879917042,0.638742965,0.847370049,-4.297485044,0.877535754,0.864463781,0.838871265,-7.544680533,0.830599181,2006225,2006232
313206,2871,78,16.39390726,0.878701314,1.34194956,0.912211598,0.292148211,0.896584631,20.62001517,0.948085967,1.31444741,0.932670896,-4.18890026,0.902639463,2003163,2003363
315505,2866,79,22.19851775,0.78907224,1.42625309,0.842682028,1.328359325,0.865407996,10.18651629,0.85210328,1.294732317,0.889506605,NA,NA,2004021,2003135
399174,2863,80,7.188255105,0.820440126,0.883917527,0.834619674,0.720472028,0.836843474,7.444984243,0.885896156,2.595385632,0.830274653,2.575777754,0.885347389,880618,875954
315128,2856,81,19.02280671,0.780876431,1.068782768,0.821874078,0.861817491,0.823485883,-5.773724201,0.841164074,1.927952705,0.866460617,NA,NA,2003299,2004028
314233,2843,82,25.75668919,0.835991029,1.190698481,0.847337595,0.423476461,0.811571932,22.8998117,0.878506118,0.700990085,0.836781931,-16.0001697,0.893691222,2003400,2004078
313492,2841,83,17.74787747,0.876290477,1.151831557,0.907526308,0.347452938,0.886842151,8.746591973,0.945384049,1.543419268,0.924908104,-2.17816878,0.899867768,2003164,2003363
399178,2835,84,31.6539022,0.823564812,0.451984368,0.83308463,0.013801902,0.834386002,-12.12058412,0.887808538,1.319837059,0.836909792,-0.331024336,0.839558217,268315,880655
317562,2834,85,12.77468219,0.828011473,0.485353124,0.877968678,0.265817146,0.849157818,9.249021268,0.88579851,2.272568552,0.857064175,-4.225357021,0.799569259,2006231,2006160
317440,2821,86,11.19077785,0.830765912,0.81978771,0.885268886,0.520158014,0.855831175,15.75988646,0.886664536,2.092521931,0.861213098,4.605245758,0.81531037,2006209,2006160
306338,2819,87,29.80436708,0.753444756,1.582336108,0.782128506,0.872426447,0.760862011,4.010224881,0.797941727,0.613099597,0.776849406,NA,NA,887841,268005
313142,2815,88,22.98545493,0.876885968,1.741947953,0.906453529,0.570760437,0.887750528,7.459075415,0.947938817,0.849780537,0.928718472,-4.729051049,0.910381788,2004070,2003164
313658,2813,89,35.72485782,0.879976704,1.119758609,0.908744188,0.558191218,0.891240147,10.05179369,0.947058604,0.287707208,0.927493935,-10.96762437,0.895088822,2003176,2004024
3181202,2813,90,33.28114664,0.785809137,1.009596211,0.837193526,0.888847718,0.793162657,-5.310091001,0.835386737,0.904914893,0.72331874,-10.55286754,0.797901623,2003178,2003179
399166,2810,91,20.03716244,0.815832703,1.894887186,0.825581008,1.219483772,0.830860397,-2.515240847,0.886457557,1.303169296,0.83753985,-0.025566276,0.78017498,880618,875954
313714,2804,92,32.59301389,0.870920203,1.481698584,0.90173943,0.746730071,0.885407816,23.41200633,0.946905486,0.055147035,0.925480956,-1.929515245,0.883438736,2004011,2003318
315198,2796,93,19.9257835,0.816611903,1.130164371,0.85158969,0.016835372,0.867221425,15.2568546,0.852604246,1.142061275,0.857550582,-8.641025518,0.734098086,2003400,2004078
313713,2792,94,27.52421368,0.866266703,1.25263453,0.906209137,0.752972436,0.886231347,2.46338839,0.944464928,0.948182346,0.923282189,-2.719076511,0.893791922,2004011,2003318
397187,2792,95,18.53373535,0.801355102,1.629086823,0.830980746,-0.044762015,0.785040763,20.54238176,0.856932903,0.805559999,0.792881454,NA,NA,875242,875076
3191420,2789,96,21.19875774,0.747884349,1.240706108,0.814039925,0.576635292,0.785220351,17.2036422,0.809585697,1.069171724,0.801907725,-7.648346205,0.816285489,2004078,2003400
313248,2787,97,31.55809288,0.878027334,0.847728087,0.908901535,0.68127507,0.886336843,12.06600744,0.94869542,0.707678043,0.928860054,-8.706805566,0.905106071,2003327,2004018
3181200,2787,98,26.6139736,0.790375227,1.101967834,0.845421788,0.561343246,0.801132324,7.926705988,0.834882626,0.947958751,0.725171014,-7.768055313,0.800923217,2003178,2003179
2003181,2786,99,32.29921686,0.96593271,1.143788103,0.970580239,0.553928292,0.963798215,3.454089989,0.977714682,0.605916341,0.975370186,-13.79542647,0.969119704,875242,288401
399506,2784,100,18.27932838,0.817620328,0.531598365,0.826004843,0.306876431,0.828895048,3.070787742,0.882567278,1.922386564,0.833742766,1.383503451,0.776727108,880740,268315
314012,2781,101,18.87080511,0.838280979,1.10062492,0.844749075,0.454880134,0.803569537,27.45277473,0.890244348,1.082229111,0.843538974,-9.163702973,0.889749965,2004020,2003163
399491,2781,102,22.65938608,0.730779036,0.971907884,0.763196567,0.347807813,0.770508923,-2.86606312,0.855604465,1.458903585,0.772160605,-1.132268419,0.600821937,NA,NA
317558,2778,103,18.80226272,0.822167258,1.093768983,0.876950398,0.53323409,0.852187773,6.709344748,0.888128369,1.508587477,0.866102765,-4.184871855,0.799166441,2006231,2006160
317573,2778,104,0.864788787,0.816971848,0.461064928,0.868806653,0.504008782,0.835535756,15.6888586,0.873468374,2.986244414,0.847456784,2.547705758,0.823219898,2006237,2006160
317325,2777,105,30.32425716,0.825705759,0.58070305,0.882984145,0.217382794,0.848131476,10.20070925,0.885985892,0.875589403,0.853039272,-2.250938745,0.814537292,2006131,2006160
315489,2768,106,10.35476447,0.783259855,0.611432717,0.815209789,0.180887668,0.843715592,25.81708755,0.843668774,1.938125893,0.874993143,NA,NA,2004020,2003098
399584,2766,107,38.1323202,0.828396041,1.840392409,0.83797315,0.778841614,0.839076278,-37.38006828,0.888071506,0.579084356,0.839696969,-2.091942669,0.907557161,850055,880655
317322,2765,108,24.5718285,0.81123671,0.516732301,0.859929067,0.080392889,0.822169082,13.61407816,0.855861554,1.206213784,0.812062805,-1.727306898,0.751199042,2006131,2006160
317429,2765,109,13.07361985,0.826666801,0.494132771,0.884235263,0.491378942,0.860797886,20.60060838,0.885229349,1.991887847,0.869398643,-2.618517668,0.799439804,2006209,2006160
397504,2764,110,19.17035837,0.814076164,1.287872142,0.863792799,0.113079108,0.812332444,16.133358,0.90005111,1.060838746,0.854163333,NA,NA,880740,880662
2003318,2760,111,26.48555928,0.972157909,2.055572195,0.975148194,0.906317866,0.971640366,12.18995232,0.97946516,0.326136453,0.974980513,-6.364530074,0.966128356,268494,288102
3181206,2758,112,28.39373809,0.769725276,1.087649054,0.835691331,0.627660836,0.805416662,4.043711337,0.817039779,0.885847831,0.719415735,-0.338029656,0.808574672,2003178,2003179
2006196,2756,113,24.40813196,0.950987907,0.758945407,0.967897205,-0.045445647,0.953497771,-1.166555862,0.966932779,1.311042518,0.96215955,-4.896652484,0.886078439,885324,NA
3181195,2754,114,28.40653223,0.785308856,1.159501717,0.837625215,0.769716327,0.792343991,5.453711654,0.835162858,0.842444292,0.722840923,-6.963721681,0.800130614,2003178,2003179
2006160,2752,115,8.919176726,0.957153593,0.123489389,0.972578017,0.316841325,0.961808193,8.872308416,0.970992791,2.685605471,0.96038586,6.398571648,0.941975584,888560,NA
399597,2746,116,38.12036265,0.820948232,1.796820279,0.836600263,0.792777706,0.839689228,-11.62287184,0.886669048,0.085556362,0.837069292,-17.7108104,0.885822781,268532,880655
315491,2744,117,11.21444878,0.721522002,0.666439459,0.7246199,0.308124561,0.728562969,24.43420724,0.754076256,1.869875984,0.765817863,NA,NA,2004020,2003098
313694,2741,118,32.29841941,0.878131539,1.123640045,0.910024725,0.732674888,0.895226787,2.970453439,0.948541512,0.612805846,0.928491249,-9.76676575,0.901880813,2003181,2003217
3181196,2739,119,28.74492054,0.79641886,1.073397019,0.854529695,0.756781667,0.808235114,5.950904056,0.843557348,0.840261387,0.734889788,-10.29413168,0.812804405,2003178,2003179
317328,2738,120,21.12453945,0.829767437,-0.40089825,0.885863421,-0.136729499,0.870958667,6.987696693,0.885909702,2.065602078,0.880758764,-2.093507433,0.802542834,2006131,2006160
313372,2735,121,32.87728063,0.854419686,1.208037009,0.865003468,0.640308157,0.845407003,-1.746592576,0.92451663,0.581696699,0.879655046,-8.006573509,0.905227043,2004011,2004008
317577,2734,122,-1.178567585,0.795553267,-0.280943209,0.848513995,0.305779141,0.828571663,8.327582707,0.851304881,3.634091976,0.851011751,NA,NA,2006237,2006160
399618,2734,123,41.29054683,0.822972053,1.052924515,0.837185762,1.051355004,0.838344798,-5.191923669,0.887584362,0.249915643,0.837113493,-7.433693705,0.777551928,268532,880655
3182475,2734,124,16.94576238,0.763904444,0.956315728,0.808811474,0.785864216,0.776334979,28.86942778,0.806734157,1.300744847,0.717434318,-8.734787814,0.799247146,2003135,2004020
315064,2733,125,32.48524042,0.781890018,1.29007437,0.819176416,0.49086228,0.826208206,3.465772221,0.841260958,0.418684456,0.871157276,NA,NA,2003217,2004048
317443,2729,126,6.14603765,0.747682419,0.470206646,0.808625995,0.423431517,0.775762206,15.57503485,0.826014528,2.529813942,0.775406345,-2.675765625,0.810663309,2006209,2006160
3182479,2729,127,19.6065226,0.758275675,1.02183465,0.804085194,0.886554664,0.762880725,20.92308903,0.816765572,1.243799419,0.736107329,-3.033174815,0.804511032,2003135,2004020
317859,2727,128,15.93697165,0.793038461,1.056477044,0.853886995,0.667254457,0.813850723,9.09216175,0.835395715,1.655427598,0.729312005,2.980765348,0.799659928,2006231,2006160
399620,2725,129,4.559261194,0.745573605,1.873448595,0.744626752,0.10418935,0.766424817,-9.200509637,0.868114624,2.162935874,0.793661767,3.057170472,0.863025492,NA,268494
3182476,2719,130,20.82895599,0.792812084,1.070128945,0.839424803,0.579927652,0.795606058,14.63347222,0.815389477,1.16333313,0.735983695,-4.748173256,0.805429078,2003135,2004020
3181205,2718,131,30.61644227,0.791938129,1.204126617,0.845372107,0.732221968,0.804355021,-5.241142272,0.835889347,0.811455507,0.723917813,-6.042395857,0.801855972,2003178,2003179
3182485,2717,132,19.55011593,0.750744297,1.053717761,0.78573087,0.882427527,0.761101833,21.88047889,0.809569639,1.193432784,0.717887178,-8.634579192,0.783096418,2003135,2004020
313573,2716,133,33.48526537,0.872875707,0.819486867,0.897086952,0.729910312,0.876023972,0.835495039,0.94305143,0.728976085,0.917452996,-10.44978874,0.908354006,2004023,2003299
306037,2711,134,28.23682714,0.757582339,1.391264594,0.795540068,0.188139691,0.779155954,5.367892681,0.805067699,0.518258332,0.801154167,NA,NA,887841,268005
399172,2711,135,13.04233407,0.820479738,0.899519631,0.82993554,1.217812409,0.83316685,0.687373918,0.886451916,2.230330884,0.834192424,-2.328795871,0.778949292,880618,875954
313193,2710,136,18.5539166,0.850068233,1.353470007,0.881621234,0.783744424,0.852467008,24.7874585,0.92532751,0.987352694,0.901101548,-12.56897641,0.871822803,2003400,2004078
399117,2710,137,22.36404551,0.817495566,0.510958843,0.827281693,0.288638542,0.831888214,23.13960072,0.886556259,1.160261042,0.837945702,-11.41257892,0.888973003,880740,875242
313550,2706,138,22.16853838,0.879860216,1.175234394,0.909430591,0.572047373,0.89617409,-7.324125424,0.945466551,1.41125198,0.92786152,-13.90634031,0.891894052,2004008,2003047
313554,2701,139,30.7968212,0.876008562,1.168011625,0.902359684,0.416765196,0.883497595,-15.15697209,0.946872748,0.917241784,0.924081165,-6.594504525,0.903568481,2004008,2003047
314603,2700,140,24.43131867,0.811085076,0.861359348,0.827050784,0.390867475,0.791478364,6.048310005,0.873639514,1.137959156,0.80154164,-5.636121064,0.894281835,2004008,2003047
313221,2695,141,18.92585534,0.868075458,0.937875703,0.893291106,0.191448825,0.873127139,26.2939345,0.942104028,1.031091827,0.923171165,-11.48514422,0.87572313,2003369,2004018
