Ortet,Index,Rank,EBV_dbh,acc_dbh,EBV_brh,acc_brh,EBV_str,acc_str,EBV_den,acc_den,EBV_pme,acc_pme,EBV_dothi,acc_dothi,Female,Male
397172,4196,1,30.64881293,0.826773851,1.30585664,0.859638878,0.601883059,0.849219053,1.554099317,0.895561277,2.455500691,0.854380477,NA,NA,875242,268539
288402,4179,2,18.25987699,0.980376968,1.619370662,0.982908439,0.894003982,0.979233374,28.34704002,0.984985279,2.659732292,0.978961695,-3.687152733,0.953632004,875066,875270
397176,3995,3,31.04330478,0.827395915,0.839012436,0.857376813,0.729149448,0.848487478,-15.42892394,0.895950892,2.824418942,0.853960186,-7.935761593,0.863356821,875242,268539
313690,3732,4,39.33247547,0.867790297,1.405174801,0.905165731,1.029307047,0.887917789,-0.340218847,0.944787278,1.332914737,0.922043925,-8.625199697,0.898137517,2003181,2003217
2006109,3668,5,7.770316015,0.948751812,0.987100744,0.966332758,0.169292874,0.950186298,31.87464628,0.964996891,2.905042478,0.952954354,0.698117327,0.887797837,887944,887771
288101,3648,6,37.55354076,0.974305907,1.695172208,0.977930979,0.519586592,0.970047937,5.6669404,0.977455881,0.932208333,0.967082727,-9.565771019,0.963091377,875258,875067
875258,3499,7,30.88875497,0.95272189,2.012557574,0.958514997,-1.462778006,0.953656647,12.05478552,0.767986328,0.41876488,0.749182221,-11.17886828,0.921467851,268123,NA
313196,3496,8,26.35415543,0.8777568,1.595476489,0.90887788,0.572024986,0.891954595,34.7856631,0.947493008,1.0380264,0.927316019,-2.378929811,0.900068886,2003400,2004078
397171,3457,9,32.45103936,0.822603185,1.18152905,0.853260804,0.441516026,0.83094705,2.837983646,0.895885595,1.407405828,0.853535002,NA,NA,875242,268539
397188,3399,10,25.87663452,0.77669299,1.51864562,0.82921891,0.582807634,0.8141732,-0.48260863,0.879309388,1.683788683,0.823885308,NA,NA,875242,NA
399604,3396,11,42.87071446,0.824047935,0.604564556,0.836579345,0.795767117,0.839676128,-14.10635245,0.88520845,1.369709345,0.838260103,-6.848909054,0.903834056,268532,880655
399599,3341,12,41.96851799,0.822083937,0.993056387,0.829806001,1.100835856,0.82368562,0.447040997,0.884260143,0.911313745,0.830471553,-11.03829457,0.882065757,268532,880655
2004008,3341,13,31.65691142,0.967842962,0.882925609,0.971039649,0.337938454,0.965914592,-13.12706083,0.977644107,1.787571111,0.973303653,-9.395745526,0.95665302,880647,875058
399076,3340,14,22.09474088,0.821292274,1.542680713,0.82934854,0.464768908,0.834731094,4.250970675,0.88524121,1.739888526,0.833942444,-4.103653352,0.788621582,880739,850055
399283,3307,15,38.16560548,0.817745682,1.279100327,0.824348227,0.401238029,0.828888412,4.30318987,0.884771157,0.715380777,0.83375476,-5.79584999,0.772058936,880740,268532
313623,3257,16,29.16458454,0.875900108,1.080113428,0.907342273,0.310111685,0.887609148,-12.22224862,0.94811128,1.708584379,0.926905065,-6.560007106,0.905958056,2004018,2003217
399239,3212,17,40.93740724,0.820793518,1.24346719,0.831751766,1.322022753,0.832830715,5.426045418,0.882660184,0.61943562,0.832993998,-8.35581707,0.766969361,880739,268532
